reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_genes,gene_ids,gene_names,equation
r1917,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,ala_L[e] + lys_L[c] + na1[e] --> ala_L[c] + lys_L[e] + na1[c]
r1916,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,citr_L[c] + gly[e] + na1[e] --> citr_L[e] + gly[c] + na1[c]
r1915,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,gly[e] + his_L[c] + na1[e] --> gly[c] + his_L[e] + na1[c]
r1914,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,gly[e] + na1[e] + orn[c] --> gly[c] + na1[c] + orn[e]
r1913,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,arg_L[c] + gly[e] + na1[e] --> arg_L[e] + gly[c] + na1[c]
r1912,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,gly[e] + lys_L[c] + na1[e] --> gly[c] + lys_L[e] + na1[c]
r1911,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,hom_L[c] + ile_L[e] + na1[e] --> hom_L[e] + ile_L[c] + na1[c]
r1910,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,ile_L[e] + na1[e] + thr_L[c] --> ile_L[c] + na1[c] + thr_L[e]
r1909,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,ile_L[e] + na1[e] + val_L[c] --> ile_L[c] + na1[c] + val_L[e]
r1908,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,asn_L[c] + ile_L[e] + na1[e] --> asn_L[e] + ile_L[c] + na1[c]
