gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_reactions,reactions
64080_AT1,RBKS,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,RBK;DRBK
5224_AT2,PGAM2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,PGM;DPGase;DPGM
5224_AT1,PGAM2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,PGM;DPGase;DPGM
669_AT1,BPGM,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,PGM;DPGase;DPGM
2585_AT1,GALK2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GALKr
5223_AT1,PGAM1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,PGM;DPGase;DPGM
2937_AT1,GSS,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHS
669_AT2,BPGM,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,PGM;DPGase;DPGM
2585_AT2,GALK2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GALKr
2584_AT1,GALK1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GALKr
1854_AT1,DUT,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,DUTPDPn;DUTPDPm
2678_AT2,GGT1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTMLTe
23539_AT1,SLC16A8,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,D_LACt2;L_LACt2r
2678_AT1,GGT1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTMLTe
5833_AT1,PCYT2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,PETHCT
4882_AT2,NPR2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GUACYC
2027_AT1,ENO3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ENO
2977_AT1,GUCY1A2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GUACYC
26237_AT1,26237_AT1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ENO
4882_AT1,NPR2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GUACYC
9583_AT1,G_9583_AT1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,NDP7er
2023_AT1,ENO1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ENO
80347_AT1,COASY,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,DPCOAK;PTPATi
2983_AT1,GUCY1B3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GUACYC
4881_AT1,NPR1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GUACYC
2026_AT1,ENO2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ENO
2986_AT1,GUCY2F,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GUACYC
2974_AT1,2974_AT1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GUACYC
2982_AT1,GUCY1A3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GUACYC
1892_AT1,ECHS1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,ECOAH9m;ECOAH12m;ECOAH1m
3000_AT1,GUCY2D,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GUACYC
2679_AT1,2679_AT1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTMLTe
2027_AT2,ENO3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ENO
