reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
1_46_1_46_1_46_278_45_RXN,1.1.1.278-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS05604,HSD17B7,3_45_BETA_45_HYDROXY_45_5_45_ALPHA_45_PREGNANE_45_20_45_ONE_c + nadp_c <=> CPD_45_293_c + NADPH_c + h_c
RXN66_45_567,RXN66-567,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,4,HS07754;HS10741;HS03054;HS10739,AKR1C2;AKR1C1;AKR1C3;AKR1C4,CPD_45_293_c + NADH_45_P_45_OR_45_NOP_c + h_c <=> 3_45_BETA_45_HYDROXY_45_5_45_ALPHA_45_PREGNANE_45_20_45_ONE_c + NAD_45_P_45_OR_45_NOP_c
RXN66_45_570,RXN66-570,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS01113,DHRS9,CPD_45_293_c + h_c + nadh_c <=> 3_45_BETA_45_HYDROXY_45_5_45_ALPHA_45_PREGNANE_45_20_45_ONE_c + nad_c
AMINOPARATHION_45_PHOSPHATASE_45_RXN,AMINOPARATHION-PHOSPHATASE-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,4,HS09313;HS00141;HS02819;HS02820,PTER;PON1;PON3;PON2,AMINO_45_PARATHION_c + WATER_c <=> CPD_45_259_c + DIETHYLTHIOPHOSPHATE_c + h_c
AMACETOXID_45_RXN,AMACETOXID-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,2,HS05537;HS05534,AOC2;AOC3,AMINO_45_ACETONE_c + OXYGEN_45_MOLECULE_c + WATER_c <=> HYDROGEN_45_PEROXIDE_c + METHYL_45_GLYOXAL_c + nh4_c
RXN_45_8016,RXN-8016,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS04276,GDA,CPD_45_7399_c + WATER_c <=> CPD_45_7400_c + nh4_c
2_46_4_46_99_46_7_45_RXN,2.4.99.7-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,3,HS06223;HS06739;HS04994,ST6GALNAC4;ST8SIA2;ST3GAL3,ALPHA_45_N_45_ACETYLNEURAMINYL_45_ETCETERA_c + CMP_45_N_45_ACETYL_45_NEURAMINATE_c <=> ALPHA_45_N_45_DIACETYLNEURAMINYL_45_23_45_BETA_45_D_45_ETC_c + cmp_c + h_c
RXN_45_19391,RXN-19391,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,6,HS00295;HS05567;HS01807;HS01205;HS00223;HS04143,FMO1;FMO5;FMO2;FMO4;FMO3;FMO6,CPD_45_20952_c + NADPH_c + OXYGEN_45_MOLECULE_c <=> CPD_45_20958_c + WATER_c + nadp_c
POLYSIALIC_45_ACID_45_O_45_ACETYLTRANSFERASE_45_RXN,POLYSIALIC-ACID-O-ACETYLTRANSFERASE-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS04474,LRAT,CPD_45_10464_c + accoa_c <=> CPD_45_10465_c + coa_c
GAMMA_45_GLUTAMYLCYCLOTRANSFERASE_45_RXN,GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS12014,GGCT,5_45_L_45_GLUTAMYL_45_L_45_AMINO_45_ACID_c <=> 5oxpro_c + L_45_Amino_45_Acids_c
